,1x,1y,5x,5y,12x,12y,13x,13y,14x,14y
51,424.0,221.84615384615384,408.0,229.76923076923077,576.0,380.3076923076923,440.0,412.0,496.0,570.4615384615385
52,432.0,221.84615384615384,416.0,221.84615384615384,584.0,380.3076923076923,448.0,412.0,496.0,562.5384615384615
53,464.0,261.46153846153845,480.0,253.53846153846155,656.0,404.0769230769231,520.0,435.7692307692308,584.0,641.7692307692307
54,464.0,261.46153846153845,480.0,253.53846153846155,656.0,404.0769230769231,520.0,435.7692307692308,584.0,641.7692307692307
55,408.0,190.15384615384616,400.0,206.0,592.0,340.6923076923077,464.0,427.84615384615387,528.0,625.9230769230769
56,408.0,190.15384615384616,408.0,198.07692307692307,592.0,348.61538461538464,464.0,419.9230769230769,528.0,625.9230769230769
57,416.0,182.23076923076923,416.0,190.15384615384616,592.0,340.6923076923077,472.0,419.9230769230769,528.0,625.9230769230769
58,504.0,198.07692307692307,472.0,206.0,624.0,412.0,504.0,435.7692307692308,568.0,625.9230769230769
59,424.0,190.15384615384616,424.0,198.07692307692307,624.0,301.0769230769231,504.0,404.0769230769231,520.0,578.3846153846154
60,424.0,182.23076923076923,432.0,190.15384615384616,624.0,309.0,504.0,404.0769230769231,520.0,586.3076923076923
61,424.0,174.30769230769232,432.0,166.3846153846154,616.0,301.0769230769231,504.0,404.0769230769231,520.0,586.3076923076923
62,424.0,166.3846153846154,432.0,174.30769230769232,624.0,293.15384615384613,504.0,404.0769230769231,520.0,578.3846153846154
63,488.0,293.15384615384613,480.0,309.0,672.0,419.9230769230769,520.0,435.7692307692308,600.0,618.0
64,456.0,293.15384615384613,432.0,316.9230769230769,648.0,427.84615384615387,488.0,443.6923076923077,600.0,618.0
65,448.0,277.3076923076923,432.0,293.15384615384613,656.0,443.6923076923077,480.0,459.53846153846155,592.0,618.0
66,448.0,277.3076923076923,424.0,293.15384615384613,648.0,412.0,472.0,451.61538461538464,592.0,618.0
67,440.0,269.38461538461536,416.0,293.15384615384613,656.0,443.6923076923077,456.0,451.61538461538464,592.0,610.0769230769231
68,472.0,269.38461538461536,456.0,285.2307692307692,672.0,435.7692307692308,504.0,443.6923076923077,592.0,618.0
69,472.0,269.38461538461536,456.0,285.2307692307692,664.0,435.7692307692308,504.0,443.6923076923077,592.0,618.0
70,472.0,277.3076923076923,456.0,285.2307692307692,664.0,435.7692307692308,496.0,443.6923076923077,592.0,618.0
71,472.0,277.3076923076923,456.0,293.15384615384613,664.0,435.7692307692308,496.0,443.6923076923077,592.0,618.0
72,472.0,277.3076923076923,456.0,293.15384615384613,672.0,435.7692307692308,496.0,443.6923076923077,592.0,618.0
73,472.0,277.3076923076923,456.0,285.2307692307692,648.0,419.9230769230769,496.0,443.6923076923077,592.0,618.0
74,472.0,269.38461538461536,448.0,285.2307692307692,656.0,412.0,496.0,443.6923076923077,592.0,618.0
75,488.0,190.15384615384616,480.0,198.07692307692307,664.0,348.61538461538464,504.0,427.84615384615387,584.0,618.0
76,480.0,190.15384615384616,472.0,198.07692307692307,672.0,348.61538461538464,504.0,427.84615384615387,584.0,618.0
77,464.0,198.07692307692307,440.0,221.84615384615384,664.0,356.53846153846155,496.0,427.84615384615387,584.0,594.2307692307693
78,464.0,198.07692307692307,440.0,213.92307692307693,672.0,332.7692307692308,504.0,419.9230769230769,584.0,594.2307692307693
79,464.0,198.07692307692307,440.0,213.92307692307693,672.0,332.7692307692308,512.0,419.9230769230769,584.0,602.1538461538462
80,472.0,237.69230769230768,456.0,245.6153846153846,648.0,404.0769230769231,512.0,451.61538461538464,608.0,633.8461538461538
81,472.0,237.69230769230768,456.0,245.6153846153846,664.0,396.15384615384613,504.0,451.61538461538464,608.0,633.8461538461538
82,480.0,253.53846153846155,456.0,269.38461538461536,640.0,380.3076923076923,520.0,435.7692307692308,600.0,602.1538461538462
83,480.0,245.6153846153846,456.0,269.38461538461536,696.0,372.38461538461536,520.0,435.7692307692308,600.0,602.1538461538462
84,472.0,253.53846153846155,440.0,277.3076923076923,688.0,364.46153846153845,520.0,435.7692307692308,600.0,602.1538461538462
85,488.0,340.6923076923077,504.0,348.61538461538464,648.0,507.0769230769231,512.0,459.53846153846155,568.0,610.0769230769231
86,488.0,340.6923076923077,504.0,348.61538461538464,648.0,507.0769230769231,512.0,459.53846153846155,568.0,602.1538461538462
87,488.0,340.6923076923077,504.0,348.61538461538464,648.0,507.0769230769231,560.0,443.6923076923077,632.0,451.61538461538464
88,488.0,340.6923076923077,504.0,348.61538461538464,648.0,507.0769230769231,560.0,451.61538461538464,632.0,451.61538461538464
89,480.0,340.6923076923077,496.0,348.61538461538464,640.0,499.15384615384613,552.0,443.6923076923077,624.0,451.61538461538464
90,480.0,348.61538461538464,496.0,356.53846153846155,648.0,507.0769230769231,552.0,451.61538461538464,624.0,443.6923076923077
91,448.0,198.07692307692307,448.0,198.07692307692307,648.0,340.6923076923077,496.0,419.9230769230769,544.0,586.3076923076923
92,448.0,190.15384615384616,448.0,198.07692307692307,656.0,332.7692307692308,496.0,412.0,544.0,594.2307692307693
93,448.0,190.15384615384616,456.0,190.15384615384616,656.0,340.6923076923077,504.0,412.0,544.0,594.2307692307693
94,456.0,221.84615384615384,448.0,237.69230769230768,648.0,380.3076923076923,488.0,419.9230769230769,544.0,594.2307692307693
95,496.0,324.84615384615387,472.0,340.6923076923077,656.0,491.2307692307692,496.0,427.84615384615387,568.0,586.3076923076923
96,496.0,324.84615384615387,472.0,340.6923076923077,656.0,491.2307692307692,496.0,435.7692307692308,496.0,610.0769230769231
97,496.0,332.7692307692308,480.0,348.61538461538464,664.0,491.2307692307692,496.0,435.7692307692308,568.0,586.3076923076923
98,496.0,332.7692307692308,472.0,356.53846153846155,664.0,491.2307692307692,496.0,435.7692307692308,568.0,586.3076923076923
99,512.0,316.9230769230769,488.0,324.84615384615387,656.0,483.3076923076923,520.0,435.7692307692308,568.0,625.9230769230769
100,512.0,316.9230769230769,488.0,332.7692307692308,656.0,491.2307692307692,520.0,435.7692307692308,568.0,625.9230769230769
101,520.0,309.0,504.0,324.84615384615387,664.0,483.3076923076923,528.0,435.7692307692308,584.0,602.1538461538462
102,520.0,316.9230769230769,520.0,316.9230769230769,648.0,459.53846153846155,528.0,435.7692307692308,584.0,602.1538461538462
103,520.0,309.0,512.0,316.9230769230769,656.0,483.3076923076923,528.0,435.7692307692308,584.0,602.1538461538462
104,456.0,198.07692307692307,472.0,190.15384615384616,640.0,316.9230769230769,504.0,412.0,544.0,586.3076923076923
105,456.0,198.07692307692307,472.0,190.15384615384616,640.0,316.9230769230769,504.0,412.0,544.0,594.2307692307693
106,488.0,229.76923076923077,472.0,237.69230769230768,624.0,396.15384615384613,480.0,435.7692307692308,552.0,578.3846153846154
107,488.0,221.84615384615384,472.0,229.76923076923077,648.0,412.0,480.0,443.6923076923077,552.0,578.3846153846154
108,488.0,221.84615384615384,472.0,229.76923076923077,640.0,404.0769230769231,480.0,443.6923076923077,552.0,578.3846153846154
109,480.0,261.46153846153845,472.0,269.38461538461536,632.0,396.15384615384613,480.0,435.7692307692308,560.0,594.2307692307693
110,480.0,261.46153846153845,480.0,269.38461538461536,640.0,396.15384615384613,480.0,435.7692307692308,560.0,586.3076923076923
111,472.0,269.38461538461536,472.0,269.38461538461536,648.0,396.15384615384613,480.0,435.7692307692308,560.0,586.3076923076923
112,496.0,174.30769230769232,512.0,166.3846153846154,664.0,324.84615384615387,536.0,419.9230769230769,568.0,586.3076923076923
113,488.0,174.30769230769232,512.0,166.3846153846154,656.0,316.9230769230769,536.0,427.84615384615387,568.0,594.2307692307693
114,488.0,174.30769230769232,504.0,166.3846153846154,656.0,316.9230769230769,528.0,427.84615384615387,568.0,594.2307692307693
115,488.0,174.30769230769232,504.0,166.3846153846154,648.0,324.84615384615387,528.0,427.84615384615387,568.0,594.2307692307693
